comments: The data is from https://doi.org/10.1021/acs.nanolett.6b03221,,,,,,
DataType: DRIFTS__IR__Vibrational_Spectrum,,,,,,
Chart_label: IR Spectra of CO Adsorption at Room Temperature after Catalyst Oxidation at Different Temperatures,,,,,,
x_label: Wavenumbers (cm^-1),,,,,,
y_label: Absorbance (<a.u.>),,,,,,
"seriesnames: 295 K,423 K,473 K,523 K,573 K,673 K",,,,,,
x_values,y_1,y_2,y_3,y_4,y_5,y_6
2345.054,-0.01078,-0.00368,-3.03E-05,0.00151,-0.00155,0.03213
2346.983,-0.01019,-0.00366,7.70E-05,0.00167,-0.00106,0.03341
2348.911,-0.01015,-0.00372,6.63E-05,0.00169,-7.38E-04,0.0346
2350.84,-0.0103,-0.00374,-2.91E-05,0.00164,-7.62E-04,0.03511
2352.768,-0.01096,-0.0038,-1.82E-04,0.00138,-0.00138,0.03433
2354.697,-0.01105,-0.00379,-1.84E-04,0.00117,-0.00209,0.0329
2356.625,-0.01059,-0.00375,-1.07E-04,0.00108,-0.0025,0.03178
2358.554,-0.01051,-0.00381,-1.47E-04,9.51E-04,-0.00275,0.03108
2360.482,-0.01026,-0.0038,-1.33E-04,9.49E-04,-0.00275,0.03071
2362.411,-0.01045,-0.00377,-1.51E-04,9.70E-04,-0.00281,0.03041
2364.339,-0.01093,-0.00379,-1.52E-04,9.26E-04,-0.00293,0.03012
2366.268,-0.01034,-0.00374,-1.40E-04,9.19E-04,-0.00299,0.02993
2368.196,-0.00947,-0.00368,-6.42E-05,0.00102,-0.00293,0.02979
2370.125,-0.00958,-0.00364,-7.26E-05,0.00105,-0.00293,0.02966
2372.053,-0.01031,-0.00369,-1.62E-04,9.24E-04,-0.00306,0.02944
2373.982,-0.01088,-0.00377,-2.58E-04,8.80E-04,-0.00316,0.02928
2375.91,-0.01103,-0.00381,-2.56E-04,9.41E-04,-0.00312,0.02924
